Date/Time;Open;High;Low;Close;Range (high - low)
16/05/2002;1091.07;1099.29;1089.17;1098.23;10.12
17/05/2002;1098.23;1106.59;1096.77;1106.59;9.82
20/05/2002;1106.59;1106.59;1090.61;1091.87;15.98
21/05/2002;1091.88;1099.55;1079.08;1079.88;20.47
22/05/2002;1079.88;1085.95;1075.64;1085.89;10.31
23/05/2002;1086.02;1097.10;1080.55;1097.08;16.55
24/05/2002;1097.08;1097.08;1082.19;1083.82;14.89
28/05/2002;1083.82;1085.98;1070.31;1074.55;15.67
29/05/2002;1074.55;1074.83;1067.66;1067.66;7.17
30/05/2002;1067.66;1069.50;1054.26;1064.66;15.24
31/05/2002;1064.66;1079.93;1064.66;1067.13;15.27
03/06/2002;1067.14;1070.74;1039.90;1040.62;30.84
04/06/2002;1040.68;1046.06;1030.52;1040.69;15.54
05/06/2002;1040.69;1050.11;1038.84;1049.93;11.27
06/06/2002;1049.90;1049.90;1026.91;1029.15;22.99
07/06/2002;1029.15;1033.02;1012.49;1027.53;20.53
10/06/2002;1027.53;1038.18;1025.45;1030.74;12.73
11/06/2002;1030.74;1039.04;1012.94;1013.60;26.10
12/06/2002;1013.60;1021.85;1002.58;1020.24;19.27
13/06/2002;1020.26;1023.47;1008.12;1009.56;15.35
14/06/2002;1009.56;1009.56;981.63;1007.26;27.93
17/06/2002;1007.27;1036.17;1007.27;1036.17;28.90
18/06/2002;1036.17;1040.83;1030.92;1037.11;9.91
19/06/2002;1037.14;1037.61;1017.88;1019.99;19.73
20/06/2002;1019.99;1023.33;1004.59;1006.29;18.74
21/06/2002;1006.29;1006.29;985.65;989.14;20.64
24/06/2002;989.14;1002.11;970.85;992.72;31.26
25/06/2002;992.72;1005.88;974.21;976.14;31.67
26/06/2002;976.14;977.43;952.92;973.52;24.51
27/06/2002;973.53;990.67;963.74;990.64;26.93
28/06/2002;990.64;1001.79;988.31;989.82;13.48
01/07/2002;989.82;994.46;967.43;968.65;27.03
02/07/2002;968.65;968.65;945.54;948.09;23.11
03/07/2002;948.09;954.3;934.87;953.99;19.43
05/07/2002;953.99;989.07;953.99;989.03;35.08
08/07/2002;989.03;993.56;972.91;976.98;20.65
09/07/2002;976.98;979.63;951.71;952.83;27.92
10/07/2002;952.83;956.34;920.29;920.47;36.05
11/07/2002;920.47;929.16;900.94;927.38;28.22
12/07/2002;927.37;934.31;913.71;921.4;20.6
15/07/2002;921.39;921.39;876.46;917.86;44.93
16/07/2002;917.93;918.65;897.13;900.94;21.52
17/07/2002;921.48;926.52;895.03;906.04;31.49
18/07/2002;906.04;907.8;880.6;881.57;27.2
19/07/2002;881.56;881.56;842.07;847.75;39.49
22/07/2002;847.76;854.13;813.26;819.83;40.87
23/07/2002;819.85;827.69;796.13;798.11;31.56
24/07/2002;797.71;844.32;775.68;843.43;68.64
25/07/2002;843.42;853.83;816.11;838.68;37.72
26/07/2002;838.68;852.85;835.92;852.84;16.93
29/07/2002;852.84;898.96;852.84;898.96;46.12
30/07/2002;898.96;909.81;884.7;902.78;25.11
31/07/2002;902.78;911.64;889.88;911.62;21.76
01/08/2002;911.62;911.62;882.48;884.66;29.14
02/08/2002;884.66;884.72;853.95;864.24;30.77
05/08/2002;864.24;864.24;833.44;834.6;30.8
06/08/2002;834.6;874.44;834.6;859.57;39.84
07/08/2002;859.57;878.74;854.15;876.77;24.59
08/08/2002;876.77;905.84;875.17;905.46;30.67
09/08/2002;905.46;913.95;890.77;908.6;23.18
12/08/2002;908.64;908.64;892.38;903.78;16.26
13/08/2002;903.8;911.71;883.62;884.21;28.09
14/08/2002;884.21;920.21;876.2;919.63;44.01
15/08/2002;919.62;933.29;918.17;930.24;15.12
16/08/2002;930.25;935.38;916.21;928.77;19.17
19/08/2002;928.77;951.17;927.21;950.74;23.96
20/08/2002;950.7;950.7;931.86;937.43;18.84
21/08/2002;937.43;951.59;931.32;949.34;20.27
22/08/2002;949.36;965;946.43;962.7;18.57
23/08/2002;962.7;962.7;937.17;940.86;25.53
26/08/2002;940.86;950.8;930.42;947.95;20.38
27/08/2002;947.95;955.82;930.36;934.83;25.46
28/08/2002;934.82;934.82;913.21;917.87;21.61
29/08/2002;917.87;924.59;903.33;917.8;21.26
30/08/2002;917.8;928.15;910.17;916.07;17.98
03/09/2002;916.07;916.07;877.51;878.02;38.56
04/09/2002;878.02;896.1;875.73;893.34;20.37
05/09/2002;893.4;893.4;870.5;879.16;22.9
06/09/2002;879.15;899.07;879.15;893.92;19.92
09/09/2002;893.92;907.34;882.92;902.96;24.42
10/09/2002;902.96;909.89;900.5;909.58;9.39
11/09/2002;910.63;924.02;908.47;909.45;15.55
12/09/2002;909.45;909.45;884.84;886.93;24.61
13/09/2002;886.91;892.75;877.05;889.8;15.7
16/09/2002;889.81;891.84;878.91;891.1;12.93
17/09/2002;891.1;902.68;872.38;873.52;30.3
18/09/2002;873.52;878.45;857.39;869.48;21.06
19/09/2002;869.46;869.46;843.09;843.32;26.37
20/09/2002;843.32;849.32;839.09;845.39;10.23
23/09/2002;845.39;845.39;825.76;833.7;19.63
24/09/2002;833.7;833.7;817.38;819.27;16.32
25/09/2002;819.27;844.22;818.46;839.63;25.76
26/09/2002;839.66;856.6;839.66;854.94;16.94
27/09/2002;854.95;854.95;826.84;827.36;28.11
30/09/2002;827.37;827.37;800.2;815.26;27.17
01/10/2002;815.28;847.93;812.82;847.91;35.11
02/10/2002;843.77;851.93;826.5;827.92;25.43
03/10/2002;827.91;840.02;817.25;819;22.77
04/10/2002;818.95;825.9;794.1;800.62;31.8
07/10/2002;800.58;808.21;782.96;785.32;25.25
08/10/2002;785.28;808.86;779.5;798.54;29.36
09/10/2002;798.55;798.55;775.8;776.76;22.75
10/10/2002;776.76;806.51;768.63;803.94;37.88
11/10/2002;803.92;843.27;803.92;835.32;39.35
14/10/2002;835.32;844.39;828.37;841.44;16.02
15/10/2002;841.44;881.26;841.44;881.26;39.82
16/10/2002;881.27;881.27;856.28;860.02;24.99
17/10/2002;860.02;885.35;860.02;879.19;25.33
18/10/2002;879.2;886.68;866.58;884.38;20.1
21/10/2002;884.39;900.69;873.06;899.72;27.63
22/10/2002;899.72;899.72;882.4;890.16;17.32
23/10/2002;890.16;896.14;873.82;896.14;22.32
24/10/2002;896.14;902.94;879;882.5;23.94
25/10/2002;882.5;897.71;877.03;897.65;20.68
28/10/2002;897.65;907.44;886.15;890.21;21.29
29/10/2002;890.23;890.64;867.91;882.15;22.73
30/10/2002;882.15;895.28;879.19;890.69;16.09
31/10/2002;890.71;898.83;879.75;885.76;19.08
01/11/2002;885.76;903.42;877.71;900.96;25.71
04/11/2002;900.96;924.58;900.96;908.34;23.62
05/11/2002;908.35;915.83;904.91;915.4;10.92
06/11/2002;915.39;925.66;905;923.76;20.66
07/11/2002;923.76;923.76;898.68;902.69;25.08
08/11/2002;902.65;910.11;891.62;894.73;18.49
11/11/2002;894.74;894.74;874.63;876.18;20.11
12/11/2002;876.19;894.3;876.19;882.95;18.11
13/11/2002;882.95;892.51;872.05;882.53;20.46
14/11/2002;882.53;904.27;882.53;904.27;21.74
15/11/2002;904.27;910.21;895.35;909.74;14.86
18/11/2002;909.83;915.91;899.48;900.36;16.43
19/11/2002;900.36;905.45;893.09;896.75;12.36
20/11/2002;896.74;915.01;894.93;914.15;20.08
21/11/2002;914.15;935.13;914.15;933.79;20.98
22/11/2002;933.76;937.28;928.41;930.55;8.87
